9984 東証1部 ソフトバンクグループ(株)（情報・通信）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","9220","9315","9172","9302","8944200","9302"
"2018-01-05","9341","9348","9178","9241","5653100","9241"
"2018-01-09","9380","9389","9236","9249","5348800","9249"
"2018-01-10","9202","9223","9141","9203","4031300","9203"
"2018-01-11","9148","9178","9098","9120","3711800","9120"
"2018-01-12","9071","9092","8934","8935","6669200","8935"
"2018-01-15","9150","9460","9131","9223","9712800","9223"
"2018-01-16","9249","9438","9205","9404","5880500","9404"
"2018-01-17","9320","9342","9246","9326","5199200","9326"
"2018-01-18","9399","9399","9187","9210","6490100","9210"
"2018-01-19","9248","9250","9144","9184","3759300","9184"
"2018-01-22","9207","9275","9187","9271","3327000","9271"
"2018-01-23","9339","9478","9303","9458","5939200","9458"
"2018-01-24","9427","9559","9388","9407","6872400","9407"
"2018-01-25","9400","9402","9270","9281","4238600","9281"
"2018-01-26","9328","9329","9171","9200","5320800","9200"
"2018-01-29","9200","9220","9119","9182","3376200","9182"
"2018-01-30","9140","9159","8999","9046","5155600","9046"
"2018-01-31","8974","9057","8953","8980","6401200","8980"
"2018-02-01","9028","9126","8977","9083","4817300","9083"
"2018-02-02","8980","9031","8924","8956","4680700","8956"
"2018-02-05","8850","8865","8750","8800","5545800","8800"
"2018-02-06","8350","8425","8059","8369","13827100","8369"
"2018-02-07","8786","8795","8621","8688","9727800","8688"
"2018-02-08","8691","8773","8556","8773","10613200","8773"
"2018-02-09","8476","8808","8441","8808","13814500","8808"
"2018-02-13","8989","9135","8931","8992","12536900","8992"
"2018-02-14","9021","9028","8676","8775","8162200","8775"
"2018-02-15","8782","8874","8766","8789","5965800","8789"
"2018-02-16","8752","8836","8656","8806","5583600","8806"
"2018-02-19","8890","9007","8880","8999","3750200","8999"
"2018-02-20","8946","8989","8863","8922","3486800","8922"
"2018-02-21","8925","8925","8815","8873","4422100","8873"
"2018-02-22","8782","8846","8735","8775","3859900","8775"
"2018-02-23","8790","8922","8787","8896","3434100","8896"
"2018-02-26","8990","9078","8981","9050","4428000","9050"
"2018-02-27","9131","9189","9081","9113","4786300","9113"
"2018-02-28","9051","9090","8895","8895","5153200","8895"
"2018-03-01","8773","8856","8713","8797","4684000","8797"
"2018-03-02","8571","8580","8425","8485","7826800","8485"
"2018-03-05","8370","8423","8333","8391","3975200","8391"
"2018-03-06","8576","8586","8463","8464","4025300","8464"
"2018-03-07","8371","8467","8341","8384","5574500","8384"
"2018-03-08","8509","8525","8385","8488","4152300","8488"
"2018-03-09","8576","8733","8569","8598","8193100","8598"
"2018-03-12","8711","8744","8588","8636","3690600","8636"
"2018-03-13","8599","8700","8597","8697","3224400","8697"
"2018-03-14","8613","8677","8602","8660","3306700","8660"
"2018-03-15","8643","8660","8526","8636","3213400","8636"
"2018-03-16","8714","8727","8591","8602","3713100","8602"
"2018-03-19","8544","8647","8526","8626","3560600","8626"
"2018-03-20","8544","8568","8501","8554","3637400","8554"
"2018-03-22","8510","8535","8465","8503","4155900","8503"
"2018-03-23","8200","8240","8062","8097","8488500","8097"
"2018-03-26","7947","8080","7917","8080","4952700","8080"
"2018-03-27","8180","8270","8122","8253","5658200","8253"
"2018-03-28","8006","8017","7832","7922","8338600","7922"
"2018-03-29","7980","7986","7758","7806","6446500","7806"
"2018-03-30","7919","8038","7900","7950","5712500","7950"
"2018-04-02","7915","7944","7860","7863","3817800","7863"
"2018-04-03","7768","7784","7715","7752","5342100","7752"
"2018-04-04","7780","7788","7600","7618","5997800","7618"
"2018-04-05","7610","7697","7594","7600","6309600","7600"
"2018-04-06","7660","7769","7619","7636","5540800","7636"
"2018-04-09","7585","7649","7546","7598","4028400","7598"
"2018-04-10","7616","7763","7555","7714","5826400","7714"
"2018-04-11","8051","8143","7980","7980","11361300","7980"
"2018-04-12","7942","8016","7842","7988","4478500","7988"
"2018-04-13","8057","8110","7981","8028","3974900","8028"
"2018-04-16","7988","8075","7980","7997","2838900","7997"
"2018-04-17","7950","8002","7923","7970","2655700","7970"
"2018-04-18","8001","8228","7986","8201","5692100","8201"
"2018-04-19","8230","8294","8202","8217","3784000","8217"
"2018-04-20","8201","8285","8162","8277","3749600","8277"
"2018-04-23","8300","8310","8150","8180","3240700","8180"
"2018-04-24","8180","8216","8085","8208","3993900","8208"
"2018-04-25","8130","8225","8076","8218","3489400","8218"
"2018-04-26","8150","8208","8149","8168","3485300","8168"
"2018-04-27","8500","8586","8407","8501","7940800","8501"
"2018-05-01","8451","8705","8381","8557","10000900","8557"
"2018-05-02","8486","8521","8445","8490","3620000","8490"
"2018-05-07","8531","8548","8433","8461","3576700","8461"
"2018-05-08","8440","8518","8411","8489","2591100","8489"
"2018-05-09","8459","8573","8429","8555","3646900","8555"
"2018-05-10","8590","8591","8318","8355","5090400","8355"
"2018-05-11","8479","8540","8433","8525","3886300","8525"
"2018-05-14","8490","8650","8488","8628","3445900","8628"
"2018-05-15","8541","8599","8541","8579","2684300","8579"
"2018-05-16","8550","8550","8376","8395","4232400","8395"
"2018-05-17","8425","8451","8381","8415","2458400","8415"
"2018-05-18","8418","8448","8387","8411","2533000","8411"
"2018-05-21","8418","8477","8402","8412","2092200","8412"
"2018-05-22","8413","8480","8400","8449","2392300","8449"
"2018-05-23","8420","8438","8260","8287","3874900","8287"
"2018-05-24","8205","8220","8043","8056","5062100","8056"
"2018-05-25","7906","7950","7859","7889","5642700","7889"
"2018-05-28","7900","8001","7847","7889","4052600","7889"
"2018-05-29","7800","7815","7651","7697","6267900","7697"
"2018-05-30","7551","7749","7540","7747","6236200","7747"
"2018-05-31","7741","7790","7660","7765","5272700","7765"
"2018-06-01","7759","7840","7717","7762","6045900","7762"
"2018-06-04","7872","7879","7782","7862","4399200","7862"
"2018-06-05","7962","8065","7928","8032","6241900","8032"
"2018-06-06","8085","8197","7990","8197","5590100","8197"
"2018-06-07","8228","8274","8151","8248","5453300","8248"
"2018-06-08","8189","8191","7995","8011","6497900","8011"
"2018-06-11","8018","8185","8018","8143","4122000","8143"
"2018-06-12","8200","8265","8147","8157","3685700","8157"
"2018-06-13","8232","8430","8219","8383","5765300","8383"
"2018-06-14","8277","8419","8271","8340","3721100","8340"
"2018-06-15","8423","8425","8323","8324","4158000","8324"
"2018-06-18","8360","8395","8266","8288","3014200","8288"
"2018-06-19","8250","8350","8070","8070","4785700","8070"
"2018-06-20","8150","8265","8081","8259","4741000","8259"
"2018-06-21","8310","8689","8273","8641","9127900","8641"
"2018-06-22","8424","8455","8339","8397","7996500","8397"
"2018-06-25","8302","8337","8186","8198","4371600","8198"
"2018-06-26","8085","8086","7936","7997","6738800","7997"
"2018-06-27","8051","8072","7930","7940","4008600","7940"
"2018-06-28","7872","7911","7786","7842","5435200","7842"
"2018-06-29","7945","7989","7892","7973","5681800","7973"
"2018-07-02","7960","8125","7960","8000","5640900","8000"
"2018-07-03","8140","8142","8016","8123","5264900","8123"
"2018-07-04","8138","8199","8117","8151","3673800","8151"
"2018-07-05","8101","8227","8100","8189","4342600","8189"
"2018-07-06","8214","8359","8214","8293","5307300","8293"
"2018-07-09","8351","8585","8350","8578","7068900","8578"
"2018-07-10","8728","8820","8716","8758","8446300","8758"
"2018-07-11","8725","8831","8698","8812","6911200","8812"
"2018-07-12","9020","9413","9015","9376","20449000","9376"
"2018-07-13","9500","9750","9433","9722","15999500","9722"
"2018-07-17","9720","9909","9602","9604","13011900","9604"
"2018-07-18","9730","9800","9601","9650","7221100","9650"
"2018-07-19","9600","9829","9518","9758","9793000","9758"
"2018-07-20","9700","9888","9601","9857","12345400","9857"
"2018-07-23","9722","9779","9537","9571","8477900","9571"
"2018-07-24","9637","9739","9547","9598","5657500","9598"
"2018-07-25","9597","9645","9555","9570","3757200","9570"
"2018-07-26","9451","9489","9252","9254","8373100","9254"
"2018-07-27","9250","9385","9221","9385","4397300","9385"
"2018-07-30","9235","9312","9183","9276","4693600","9276"
"2018-07-31","9200","9360","9135","9260","8316000","9260"
"2018-08-01","9390","9400","9292","9367","4624600","9367"
"2018-08-02","9336","9353","9191","9235","4564300","9235"
"2018-08-03","9300","9329","9193","9232","4581200","9232"
"2018-08-06","9275","9445","9252","9433","4565800","9433"
"2018-08-07","9930","10105","9842","10050","17130200","10050"
"2018-08-08","10190","10600","10160","10530","16308700","10530"
"2018-08-09","10305","10540","10275","10490","6571200","10490"
"2018-08-10","10445","10560","10050","10120","6477700","10120"
"2018-08-13","9940","10155","9921","10070","5479800","10070"
"2018-08-14","10180","10470","10175","10445","6262200","10445"
"2018-08-15","10375","10385","10150","10170","4067100","10170"
"2018-08-16","9944","10125","9888","9985","7882400","9985"
"2018-08-17","10080","10150","9985","10020","3585100","10020"
"2018-08-20","10080","10115","9970","9984","3725500","9984"
"2018-08-21","10000","10015","9770","9821","6552900","9821"
"2018-08-22","9530","10015","9521","9950","8470000","9950"
"2018-08-23","9820","9969","9809","9854","4318200","9854"
"2018-08-24","9867","10100","9770","10100","6056900","10100"
"2018-08-27","10100","10280","10090","10175","4748600","10175"
"2018-08-28","10295","10365","10230","10235","4728400","10235"
"2018-08-29","10290","10315","10070","10100","4723700","10100"
"2018-08-30","10055","10195","10030","10195","5189500","10195"
"2018-08-31","10250","10360","10235","10300","4444900","10300"
"2018-09-03","10250","10335","10175","10250","2862600","10250"
"2018-09-04","10295","10325","10160","10245","2707600","10245"
"2018-09-05","10110","10125","9849","9850","6444500","9850"
"2018-09-06","9740","10040","9717","10005","5564200","10005"
"2018-09-07","9912","10045","9893","9940","5176800","9940"
"2018-09-10","9850","10010","9828","9906","4090000","9906"
"2018-09-11","9922","10150","9899","10150","5044300","10150"
"2018-09-12","10260","10550","10250","10495","8316300","10495"
"2018-09-13","10640","11000","10605","10990","8595500","10990"
"2018-09-14","11095","11100","10685","10945","9989300","10945"
"2018-09-18","10800","10820","10585","10710","6431500","10710"
"2018-09-19","10880","11115","10860","10915","6003300","10915"
"2018-09-20","11105","11115","10815","10880","4872500","10880"
"2018-09-21","11100","11250","10935","11045","8766600","11045"
"2018-09-25","11015","11140","10905","10925","4891000","10925"
"2018-09-26","10955","11220","10935","11065","5386000","11065"
"2018-09-27","11115","11185","10960","10960","4412700","10960"
"2018-09-28","11250","11500","11150","11470","8708300","11470"
"2018-10-01","11380","11500","11270","11435","5436000","11435"
"2018-10-02","11455","11465","11170","11190","6350500","11190"
"2018-10-03","11250","11255","10965","11055","4302800","11055"
"2018-10-04","11205","11415","11050","11200","8303300","11200"
"2018-10-05","11105","11145","10985","11075","5827800","11075"
"2018-10-09","10780","10935","10685","10700","6174100","10700"
"2018-10-10","10680","10690","10040","10125","9977200","10125"
"2018-10-11","9350","9589","9287","9535","19324300","9535"
"2018-10-12","9400","9996","9400","9976","14198500","9976"
"2018-10-15","9872","9932","9164","9251","17568200","9251"
"2018-10-16","9401","9654","9395","9586","13250400","9586"
"2018-10-17","10065","10145","9691","9790","13164500","9790"
"2018-10-18","9826","9854","9587","9648","7154100","9648"
"2018-10-19","9270","9540","9213","9530","10190400","9530"